standard,stage_index,stage_name,collection,weight,status,method_id
ISCO-08,1,major,isco08_major_groups,0.1,implemented,isco_hierarchical_rag
ISCO-08,2,submajor,isco08_submajor_groups,0.2,implemented,isco_hierarchical_rag
ISCO-08,3,minor,isco08_minor_groups,0.2,implemented,isco_hierarchical_rag
ISCO-08,4,unit,isco08_unit_groups,0.5,implemented,isco_hierarchical_rag
ISIC Rev.4,1,section,(not yet implemented),0.0,planned,isic_hierarchical_retrieval
ISIC Rev.4,2,division,(not yet implemented),0.0,planned,isic_hierarchical_retrieval
ISIC Rev.4,3,group,(not yet implemented),0.0,planned,isic_hierarchical_retrieval
ISIC Rev.4,4,class,(not yet implemented),0.0,planned,isic_hierarchical_retrieval
ISCED-F 2013,1,broad,(not yet implemented),0.0,planned,iscedf_hierarchical_retrieval
ISCED-F 2013,2,narrow,(not yet implemented),0.0,planned,iscedf_hierarchical_retrieval
ISCED-F 2013,3,detailed,(not yet implemented),0.0,planned,iscedf_hierarchical_retrieval
